model;year;price;Transmission;mileage;fuelType;engineSize
MarutiRitz;2012;271499;MANUAL;16061;Diesel;1
SkodaLauraAMBITION2.0TDICR;2012;322499;MANUAL;109457;Diesel;1
MarutiWagonR1.0;2010;149181;MANUAL;62834;Petrol + CNG;1
DatsunGoREMIX;2018;283090;GJ27;19549;Petrol;1
MarutiAlto800;2019;324399;MANUAL;3495;Petrol;1
HondaBrio1.2SMTI;2012;277599;MANUAL;23210;Petrol;1
HondaCitySVMT;2016;731019;MANUAL;52528;Petrol;1
HyundaiElitei20SPORTZ;2016;522366;MANUAL;13900;Petrol;1
HyundaiVerna1.6SX(O)CRDI;2017;955799;MH12;50529;Diesel;1
VolkswagenPoloCOMFORTLINE1.2L;2010;272299;MANUAL;45711;Petrol;1
MarutiBalenoDELTADDIS;2018;600399;MANUAL;24274;Diesel;1
MarutiSwift;2012;461122;MANUAL;60626;Petrol;1
MarutiWagonR1.0LXI;2017;381699;MANUAL;29735;Petrol + CNG;1
ToyotaEtiosVX;2015;472499;MANUAL;56782;Diesel;1
MarutiEeco5STRWITHAC;2015;343299;MANUAL;29027;Petrol;1
MahindraKuv100K6D6;2016;404786;MANUAL;38594;Diesel;1
HondaBrio1.2SMTI;2013;301299;MANUAL;43702;Petrol;1
MarutiSwift;2014;376199;MANUAL;68628;Diesel;1
MarutiErtigaVDI;2018;748899;MANUAL;69604;Diesel;1
VolkswagenPoloHIGHLINE1.2L;2010;320699;MANUAL;125435;Petrol;1
HondaCitySMT;2009;257599;MANUAL;85362;Petrol;1
MarutiAltoK10VXI(O);2018;388899;DL2C;39845;Petrol;1
HyundaiCreta1.6SX;2016;1017499;HR26;67987;Diesel;1
MarutiSwiftDzireVXI1.2BS;2011;282096;MANUAL;90479;Petrol;1
MarutiSwiftDzireLDIBS;2014;340899;MANUAL;123363;Diesel;1
MarutiEeco5STRWITHAC;2014;278999;MANUAL;50754;Petrol;1
MarutiWagonR1.0;2010;235499;MANUAL;93112;Petrol;1
HyundaiEonERA;2012;202699;MANUAL;50877;Petrol + CNG;1
MarutiCiazZETA1.5SHVSVVT;2018;936799;HR26;11400;Petrol;1
Hyundaii20ASTA1.4;2012;356499;MANUAL;68559;Diesel;1
MarutiAlto;2011;156299;MANUAL;41402;Petrol;1
VolkswagenJettaCOMFORTLINE2.0L;2012;382199;MANUAL;105572;Diesel;1
HyundaiGrandi10SPORTZ1.2KAPPA;2016;480299;MANUAL;25338;Petrol;1
HyundaiEonMAGNA;2014;211499;MANUAL;28323;Petrol;1
MarutiSwift;2013;377899;MANUAL;111379;Petrol;1
MarutiWagonR1.0LXI;2013;181999;MANUAL;153709;Petrol + CNG;1
Hyundaii10SPORTZ1.2AT;2013;408899;AUTOMATIC;22768;Petrol;1
VolkswagenPoloCOMFORTLINE1.5L;2015;424499;MANUAL;133921;Diesel;1
SkodaRapid1.5TDIMT;2017;752999;MANUAL;40267;Diesel;1
RenaultDusterRXLAMT110;2016;495299;AUTOMATIC;85369;Diesel;1
MahindraScorpio;2017;1192799;MANUAL;23836;Diesel;1
MarutiWagonR1.0;2013;346677;MANUAL;30361;Petrol;1
MarutiDzire;2017;583799;MANUAL;12400;Petrol;1
TataHexaVaricor400;2018;1380699;AUTOMATIC;27929;Diesel;1
MarutiRitz;2012;224999;MANUAL;80575;Diesel;1
MarutiSCrossZETA;2017;681399;MANUAL;42045;Diesel;1
MarutiRitz;2012;212299;MANUAL;72428;Diesel;1
HyundaiSantroXing;2010;145999;MANUAL;98143;Petrol;1
MarutiSwiftDzireVDIBS;2012;353768;MANUAL;98618;Diesel;1
MarutiRitz;2013;216799;MANUAL;97984;Diesel;1
HyundaiVernaFLUIDIC1.6SXVTVT;2013;430799;MANUAL;51641;Petrol;1
MarutiSwiftVXI;2018;504737;AUTOMATIC;94628;Petrol + CNG;1
MarutiEeco5STRCNGWITHAC;2015;316653;MANUAL;45174;Petrol + CNG;1
ToyotaCorollaAltisVL;2011;462199;AUTOMATIC;86288;Petrol;1
Hyundaii10MAGNA1.2;2011;343199;MANUAL;11234;Petrol;1
MahindraTUV300;2015;635099;MANUAL;36705;Diesel;1
